roi,partial_r,partial_p
L_STG_posterior,-0.2398646455065484,0.2702916721145367
L_STG_anterior,-0.3390007385810849,0.11355886854366248
L_MTG,-0.09384840074742194,0.6701633124359614
L_IFG_triangularis,-0.2001465481135669,0.3598485654842587
L_IFG_opercularis,-0.04796822814023999,0.8279408456701971
L_STS,-0.22560107920023006,0.30065543380124304
R_STG_posterior,-0.516029133944393,0.011715597245197114
R_STG_anterior,-0.1555026931807273,0.4786322365337988
R_MTG,-0.43840805973913244,0.03638921897746787
R_IFG,0.11428180108988906,0.6036084455519114
L_Heschl,-0.1784762939973048,0.41519701544170207
R_Heschl,-0.4380413030989764,0.03656398575150604
