contrast,roi_pair,comparison,t_statistic,p_value,cohens_d
words_vs_sentences,MTG,AVH-_vs_AVH+,1.6712422283371628,0.10177251677803166,0.4928224467094011
words_vs_reversed,STG_posterior,AVH-_vs_AVH+,1.2894996383880393,0.20396182020772013,0.38025269828993
words_vs_reversed,IFG,AVH-_vs_AVH+,1.263571555293249,0.2130379093585707,0.3726069237082448
words_vs_sentences,STG_posterior,AVH-_vs_AVH+,1.2375558068416088,0.22244444242178027,0.3649352980231576
words_vs_reversed,STG_anterior,AVH-_vs_AVH+,-1.2223517185692485,0.22808235829617898,-0.36045185699030063
speech_vs_reversed,STG_anterior,AVH-_vs_AVH+,-0.9625170089113203,0.3410501024065946,-0.28383078125249117
sentences_vs_reversed,STG_anterior,AVH-_vs_AVH+,-0.9462580722046288,0.3491848659357915,-0.2790362823864247
sentences_vs_reversed,MTG,AVH-_vs_AVH+,-0.8984173750387237,0.3738533138810688,-0.2649288304385145
sentences_vs_reversed,IFG,AVH-_vs_AVH+,0.8553634683242932,0.39698388797210876,0.2522329259863424
sentences_vs_reversed,Heschl,AVH-_vs_AVH+,-0.7139870419028778,0.47900578512163455,-0.2105432922548176
speech_vs_reversed,STG_posterior,AVH-_vs_AVH+,0.6511512914884808,0.5183352842691212,0.19201404033969846
speech_vs_reversed,IFG,AVH-_vs_AVH+,0.4767677254797381,0.635886929625782,0.14059113215250718
words_vs_reversed,MTG,AVH-_vs_AVH+,-0.46041365907029497,0.6474867617707103,-0.13576858106751638
speech_vs_reversed,MTG,AVH-_vs_AVH+,-0.4595359329354791,0.6481118723273469,-0.13550975375094532
words_vs_reversed,Heschl,AVH-_vs_AVH+,0.45464162217074877,0.6516022626374515,0.13406650024458172
sentences_vs_reversed,STG_posterior,AVH-_vs_AVH+,0.4466647702606366,0.657307907442953,0.131714254945412
speech_vs_reversed,Heschl,AVH-_vs_AVH+,-0.29818627070779924,0.7669646076990547,-0.08793033410338325
words_vs_sentences,IFG,AVH-_vs_AVH+,0.20051280280831751,0.8420035046052974,0.059127999760318975
words_vs_sentences,Heschl,AVH-_vs_AVH+,-0.15175543364618688,0.8800735296872778,-0.04475023598785696
words_vs_sentences,STG_anterior,AVH-_vs_AVH+,0.014834226512685664,0.988231494681753,0.004374374750150424
